material_id,material_name,material_type,density_g_cm3,strength_score,weight_capacity_kg,biodegradability_score,recyclability_percent,manufacturing_energy_index,fragility_support,moisture_resistance,cost_target,co2_target
1,Material_1,Molded Fiber,0.333,21.07,12.36,67.09,90.84,79.87,0,0,52.25992643222733,15.808755067894731
2,Material_2,Bio-Composite,1.394,42.62,16.61,96.22,87.48,23.15,1,0,77.94689322162976,-207.29013084688137
3,Material_3,Corrugated Board,1.227,23.57,45.27,99.04,84.98,20.36,0,0,75.10024237543256,-218.46133462362943
4,Material_4,Bio-Composite,0.23,22.9,4.8,87.79,65.35,16.91,0,1,41.80993353019793,-190.02432831259176
5,Material_5,Bio-Composite,1.047,42.06,41.61,85.41,52.85,50.59,1,0,80.67441329344729,-69.40526827687984
6,Material_6,Recycled Paper,1.203,42.05,18.1,80.83,67.15,53.95,1,0,71.99206096426329,-64.01919775371039
7,Material_7,Corrugated Board,0.687,82.97,26.56,49.96,83.35,35.57,0,0,109.49333012845779,-74.08862448246802
8,Material_8,Corrugated Board,0.29,97.99,39.93,43.55,55.13,47.48,1,1,121.88726430007696,0.6379559511419792
9,Material_9,Corrugated Board,0.301,49.7,44.33,81.44,50.6,65.19,1,0,84.96045082341878,-16.326606916285172
10,Material_10,Bio-Composite,0.336,54.31,17.89,83.73,56.98,67.27,1,0,74.72278387935178,-22.42339621828042
11,Material_11,Molded Fiber,1.293,87.58,23.63,42.82,85.79,77.05,0,1,114.4796767515448,63.14140031416867
12,Material_12,Corrugated Board,1.384,41.45,21.31,95.68,98.64,67.7,0,0,80.75024913480807,-83.92132043931214
13,Material_13,Recycled Cardboard,0.36,32.51,1.65,45.47,99.15,49.54,0,1,58.882955780115694,-39.788977924432196
14,Material_14,Bio-Composite,0.507,88.25,15.5,57.15,74.7,22.58,1,1,106.46766319264556,-120.56556444687487
15,Material_15,Recycled Paper,0.415,23.72,23.5,80.34,93.47,16.98,1,1,63.94494192601139,-202.67421292067553
16,Material_16,Molded Fiber,0.442,69.58,21.14,50.19,86.84,13.82,0,1,96.60961607333867,-145.53441170344666
17,Material_17,Recycled Cardboard,1.289,64.96,36.37,43.32,75.05,56.66,0,0,100.66136763697361,11.584628430140203
18,Material_18,Recycled Cardboard,0.632,47.67,19.86,59.87,78.64,66.53,1,1,78.01848975119363,3.2037340933945653
19,Material_19,Recycled Paper,0.605,45.22,24.98,85.96,56.86,45.61,1,1,72.92363827728823,-90.09930957141646
20,Material_20,Molded Fiber,0.496,81.75,22.05,64.82,96.88,13.83,1,0,112.28485294000936,-183.89096657195591
21,Material_21,Bio-Composite,0.99,26.91,37.29,79.18,67.6,47.48,1,0,68.9730378811696,-81.50737879207614
